id,slug,name,product_image,small_description,quantity,description,original_price,selling_price,status,trending,tag,meta_title,meta_keywords,meta_description,created_at,Category_id
521,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,1st owner,7000,76632,30000,30000,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
522,Hero Honda Pleasure,Hero Honda Pleasure,Individual,1st owner,22000,50267,25000,25000,0,,,Hero Honda Pleasure,Hero Honda Pleasure,,,
523,Bajaj Platina 100,Bajaj Platina 100,Individual,1st owner,50000,,20000,20000,0,,,Bajaj Platina 100,Bajaj Platina 100,,,
524,Honda CB Hornet 160R,Honda CB Hornet 160R,Individual,1st owner,16295,,70000,70000,0,,,Honda CB Hornet 160R,Honda CB Hornet 160R,,,
525,Bajaj V15,Bajaj V15,Individual,1st owner,35000,87719,50000,50000,0,,,Bajaj V15,Bajaj V15,,,
526,Hero Honda CD Deluxe,Hero Honda CD Deluxe,Individual,1st owner,9000,65626,25000,25000,0,,,Hero Honda CD Deluxe,Hero Honda CD Deluxe,,,
527,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,35000,,22000,22000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
528,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,1st owner,60000,,35000,35000,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
529,TVS Apache RTR 160,TVS Apache RTR 160,Individual,1st owner,29500,50267,40000,40000,0,,,TVS Apache RTR 160,TVS Apache RTR 160,,,
530,Bajaj Pulsar 220F,Bajaj Pulsar 220F,Individual,2nd owner,50000,,75000,75000,0,,,Bajaj Pulsar 220F,Bajaj Pulsar 220F,,,
531,Hero Honda Passion PRO [2012],Hero Honda Passion PRO [2012],Individual,1st owner,10500,,28000,28000,0,,,Hero Honda Passion PRO [2012],Hero Honda Passion PRO [2012],,,
532,Hero Maestro Edge,Hero Maestro Edge,Individual,2nd owner,60000,,55000,55000,0,,,Hero Maestro Edge,Hero Maestro Edge,,,
533,Honda Dio,Honda Dio,Individual,1st owner,39000,52790,30000,30000,0,,,Honda Dio,Honda Dio,,,
534,Hero Glamour 125,Hero Glamour 125,Individual,1st owner,24000,,40000,40000,0,,,Hero Glamour 125,Hero Glamour 125,,,
535,Bajaj Avenger Street 160,Bajaj Avenger Street 160,Individual,1st owner,15000,61600,85000,85000,0,,,Bajaj Avenger Street 160,Bajaj Avenger Street 160,,,
536,Hero Honda CD Deluxe,Hero Honda CD Deluxe,Individual,1st owner,3000,,12000,12000,0,,,Hero Honda CD Deluxe,Hero Honda CD Deluxe,,,
537,Yamaha YBR 125,Yamaha YBR 125,Individual,2nd owner,100000,,35000,35000,0,,,Yamaha YBR 125,Yamaha YBR 125,,,
538,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,20350,54593,25000,25000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
539,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,2nd owner,50000,,40000,40000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
540,Hero Honda CD Deluxe,Hero Honda CD Deluxe,Individual,2nd owner,37000,,15000,15000,0,,,Hero Honda CD Deluxe,Hero Honda CD Deluxe,,,
541,Hero Passion PRO i3s,Hero Passion PRO i3s,Individual,1st owner,70000,,55000,55000,0,,,Hero Passion PRO i3s,Hero Passion PRO i3s,,,
542,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,1st owner,15000,54475,60000,60000,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
543,Yamaha Fazer 25,Yamaha Fazer 25,Individual,1st owner,28563,85011,115000,115000,0,,,Yamaha Fazer 25,Yamaha Fazer 25,,,
544,TVS Excel,TVS Excel,Individual,1st owner,11000,142680,5000,5000,0,,,TVS Excel,TVS Excel,,,
545,Honda Shine,Honda Shine,Individual,1st owner,60000,,40000,40000,0,,,Honda Shine,Honda Shine,,,
546,Honda Dream Neo,Honda Dream Neo,Individual,1st owner,21121,,50000,50000,0,,,Honda Dream Neo,Honda Dream Neo,,,
547,Honda Dio,Honda Dio,Individual,1st owner,25000,49211,28000,28000,0,,,Honda Dio,Honda Dio,,,
548,Hero Splendor Plus,Hero Splendor Plus,Individual,1st owner,13000,,35000,35000,0,,,Hero Splendor Plus,Hero Splendor Plus,,,
549,Bajaj Xcd,Bajaj Xcd,Individual,1st owner,55000,,25000,25000,0,,,Bajaj Xcd,Bajaj Xcd,,,
550,TVS Streak,TVS Streak,Individual,2nd owner,100000,,20000,20000,0,,,TVS Streak,TVS Streak,,,
551,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,2nd owner,36000,,40000,40000,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
552,Hero Xtreme 200R,Hero Xtreme 200R,Individual,1st owner,34000,85011,86000,86000,0,,,Hero Xtreme 200R,Hero Xtreme 200R,,,
553,Yamaha YZF R15 [2011-2018],Yamaha YZF R15 [2011-2018],Individual,1st owner,12000,93400,65000,65000,0,,,Yamaha YZF R15 [2011-2018],Yamaha YZF R15 [2011-2018],,,
554,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],Individual,1st owner,29000,,60000,60000,0,,,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],,,
555,Yamaha RX135,Yamaha RX135,Individual,1st owner,30000,80435,65000,65000,0,,,Yamaha RX135,Yamaha RX135,,,
556,Honda CB Shine SP,Honda CB Shine SP,Individual,3rd owner,16500,,41000,41000,0,,,Honda CB Shine SP,Honda CB Shine SP,,,
557,Honda CBR150 R,Honda CBR150 R,Individual,1st owner,33000,66697,110000,110000,0,,,Honda CBR150 R,Honda CBR150 R,,,
558,Honda Dream Yuga,Honda Dream Yuga,Individual,1st owner,11800,129662,32000,32000,0,,,Honda Dream Yuga,Honda Dream Yuga,,,
559,Honda Shine,Honda Shine,Individual,1st owner,39000,56147,37000,37000,0,,,Honda Shine,Honda Shine,,,
560,Hero Splendor Plus i3s,Hero Splendor Plus i3s,Individual,1st owner,16145,,65000,65000,0,,,Hero Splendor Plus i3s,Hero Splendor Plus i3s,,,
561,Hero Honda Passion Plus,Hero Honda Passion Plus,Individual,1st owner,1000,55600,18000,18000,0,,,Hero Honda Passion Plus,Hero Honda Passion Plus,,,
562,Hero Honda Passion PRO [2012],Hero Honda Passion PRO [2012],Individual,2nd owner,50000,,28700,28700,0,,,Hero Honda Passion PRO [2012],Hero Honda Passion PRO [2012],,,
563,Honda Activa 3G,Honda Activa 3G,Individual,2nd owner,49876,,35000,35000,0,,,Honda Activa 3G,Honda Activa 3G,,,
564,Bajaj Pulsar 180F,Bajaj Pulsar 180F,Individual,1st owner,51000,54605,100000,100000,0,,,Bajaj Pulsar 180F,Bajaj Pulsar 180F,,,
565,Hero Honda Glamour,Hero Honda Glamour,Individual,1st owner,1300,,21000,21000,0,,,Hero Honda Glamour,Hero Honda Glamour,,,
566,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],Individual,1st owner,11000,,30000,30000,0,,,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],,,
567,TVS Apache RTR 200 4V,TVS Apache RTR 200 4V,Individual,2nd owner,55000,,90000,90000,0,,,TVS Apache RTR 200 4V,TVS Apache RTR 200 4V,,,
568,Bajaj Super,Bajaj Super,Individual,1st owner,20000,,6000,6000,0,,,Bajaj Super,Bajaj Super,,,
569,Hero Honda Passion Plus,Hero Honda Passion Plus,Individual,1st owner,35000,,23500,23500,0,,,Hero Honda Passion Plus,Hero Honda Passion Plus,,,
570,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,60000,,55000,55000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
571,Yamaha SZ X,Yamaha SZ X,Individual,2nd owner,40000,,35000,35000,0,,,Yamaha SZ X,Yamaha SZ X,,,
572,Hero Honda CD100,Hero Honda CD100,Individual,1st owner,46000,65800,15000,15000,0,,,Hero Honda CD100,Hero Honda CD100,,,
573,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,1st owner,65000,,35000,35000,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
574,Bajaj Pulsar 220 DTS-i,Bajaj Pulsar 220 DTS-i,Individual,1st owner,19000,85011,40000,40000,0,,,Bajaj Pulsar 220 DTS-i,Bajaj Pulsar 220 DTS-i,,,
575,Hero Honda Achiever,Hero Honda Achiever,Individual,1st owner,26000,,15000,15000,0,,,Hero Honda Achiever,Hero Honda Achiever,,,
576,Hero Honda Karizma,Hero Honda Karizma,Individual,1st owner,86000,,40000,40000,0,,,Hero Honda Karizma,Hero Honda Karizma,,,
577,Honda CB Unicorn 160,Honda CB Unicorn 160,Individual,2nd owner,340000,,75000,75000,0,,,Honda CB Unicorn 160,Honda CB Unicorn 160,,,
578,Bajaj Avenger Cruise 220,Bajaj Avenger Cruise 220,Individual,1st owner,40000,77545,70000,70000,0,,,Bajaj Avenger Cruise 220,Bajaj Avenger Cruise 220,,,
579,Bajaj Discover 135,Bajaj Discover 135,Individual,1st owner,10000,,22000,22000,0,,,Bajaj Discover 135,Bajaj Discover 135,,,
580,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,Individual,1st owner,25000,,80000,80000,0,,,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,,,
581,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,10000,87042,72000,72000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
582,Hero HF Deluxe,Hero HF Deluxe,Individual,1st owner,24000,,30000,30000,0,,,Hero HF Deluxe,Hero HF Deluxe,,,
583,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,Individual,2nd owner,35000,,25000,25000,0,,,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,,,
584,Aprilia SR 125,Aprilia SR 125,Individual,2nd owner,30000,64589,65000,65000,0,,,Aprilia SR 125,Aprilia SR 125,,,
585,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,6500,,68000,68000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
586,Hero Duet,Hero Duet,Individual,1st owner,10000,,27000,27000,0,,,Hero Duet,Hero Duet,,,
587,Honda CB Twister,Honda CB Twister,Individual,1st owner,28000,50280,25000,25000,0,,,Honda CB Twister,Honda CB Twister,,,
588,Bajaj Discover 125,Bajaj Discover 125,Individual,1st owner,35000,57241,45000,45000,0,,,Bajaj Discover 125,Bajaj Discover 125,,,
589,Honda CBR-250R,Honda CBR-250R,Individual,1st owner,20000,60122,200000,200000,0,,,Honda CBR-250R,Honda CBR-250R,,,
590,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,1st owner,5500,202310,20100,20100,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
591,Honda Shine,Honda Shine,Individual,1st owner,36000,85011,30000,30000,0,,,Honda Shine,Honda Shine,,,
592,Suzuki Swish [2012-2015],Suzuki Swish [2012-2015],Individual,1st owner,25000,,30000,30000,0,,,Suzuki Swish [2012-2015],Suzuki Swish [2012-2015],,,
593,TVS Star City,TVS Star City,Individual,1st owner,30000,51685,21000,21000,0,,,TVS Star City,TVS Star City,,,
594,Hero Super Splendor,Hero Super Splendor,Individual,1st owner,101000,47108,45000,45000,0,,,Hero Super Splendor,Hero Super Splendor,,,
595,Yamaha Fazer [2009-2016],Yamaha Fazer [2009-2016],Individual,1st owner,21000,,45000,45000,0,,,Yamaha Fazer [2009-2016],Yamaha Fazer [2009-2016],,,
596,TVS Scooty Pep DLX,TVS Scooty Pep DLX,Individual,1st owner,57700,84751,14500,14500,0,,,TVS Scooty Pep DLX,TVS Scooty Pep DLX,,,
597,Honda Dream Yuga,Honda Dream Yuga,Individual,1st owner,44000,,47000,47000,0,,,Honda Dream Yuga,Honda Dream Yuga,,,
598,TVS Star City Plus,TVS Star City Plus,Individual,1st owner,8800,56147,26000,26000,0,,,TVS Star City Plus,TVS Star City Plus,,,
599,Yamaha Fazer [2009-2016],Yamaha Fazer [2009-2016],Individual,2nd owner,68000,,25000,25000,0,,,Yamaha Fazer [2009-2016],Yamaha Fazer [2009-2016],,,
600,Hero Honda Street Smart,Hero Honda Street Smart,Individual,1st owner,120000,84751,10000,10000,0,,,Hero Honda Street Smart,Hero Honda Street Smart,,,
601,TVS Apache RTR 160,TVS Apache RTR 160,Individual,1st owner,24000,,50000,50000,0,,,TVS Apache RTR 160,TVS Apache RTR 160,,,
602,Honda Dio,Honda Dio,Individual,1st owner,38000,,23000,23000,0,,,Honda Dio,Honda Dio,,,
603,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,1st owner,40000,,50000,50000,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
604,Hero Maestro Edge,Hero Maestro Edge,Individual,1st owner,48000,50267,46000,46000,0,,,Hero Maestro Edge,Hero Maestro Edge,,,
605,Honda CB Hornet 160R,Honda CB Hornet 160R,Individual,1st owner,14000,55980,80000,80000,0,,,Honda CB Hornet 160R,Honda CB Hornet 160R,,,
606,Hero Karizma [2003-2014],Hero Karizma [2003-2014],Individual,1st owner,18000,87719,50000,50000,0,,,Hero Karizma [2003-2014],Hero Karizma [2003-2014],,,
607,Honda CB Trigger,Honda CB Trigger,Individual,1st owner,38000,85766,40000,40000,0,,,Honda CB Trigger,Honda CB Trigger,,,
608,Honda CB Hornet 160R,Honda CB Hornet 160R,Individual,1st owner,75000,83437,70000,70000,0,,,Honda CB Hornet 160R,Honda CB Hornet 160R,,,
609,Hero Glamour FI,Hero Glamour FI,Individual,1st owner,35000,87719,30900,30900,0,,,Hero Glamour FI,Hero Glamour FI,,,
610,Bajaj Avenger [2015],Bajaj Avenger [2015],Individual,1st owner,25000,71150,65000,65000,0,,,Bajaj Avenger [2015],Bajaj Avenger [2015],,,
611,Hero Honda Splendor Plus,Hero Honda Splendor Plus,Individual,1st owner,20000,75502,15000,15000,0,,,Hero Honda Splendor Plus,Hero Honda Splendor Plus,,,
612,TVS Apache RTR 160,TVS Apache RTR 160,Individual,1st owner,100000,,89999,89999,0,,,TVS Apache RTR 160,TVS Apache RTR 160,,,
613,Hero Honda Splendor Plus,Hero Honda Splendor Plus,Individual,1st owner,6400,,17600,17600,0,,,Hero Honda Splendor Plus,Hero Honda Splendor Plus,,,
614,Bajaj Platina 100,Bajaj Platina 100,Individual,1st owner,52000,,17000,17000,0,,,Bajaj Platina 100,Bajaj Platina 100,,,
615,Yamaha FZ25,Yamaha FZ25,Individual,1st owner,16000,,90000,90000,0,,,Yamaha FZ25,Yamaha FZ25,,,
616,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],Individual,1st owner,8200,132680,35000,35000,0,,,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],,,
617,Yamaha YZF R15 S,Yamaha YZF R15 S,Individual,1st owner,60000,,70000,70000,0,,,Yamaha YZF R15 S,Yamaha YZF R15 S,,,
618,Bajaj Discover 125,Bajaj Discover 125,Individual,1st owner,16000,117926,15000,15000,0,,,Bajaj Discover 125,Bajaj Discover 125,,,
619,Hero Passion PRO i3s,Hero Passion PRO i3s,Individual,1st owner,47000,57549,35000,35000,0,,,Hero Passion PRO i3s,Hero Passion PRO i3s,,,
620,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,1st owner,18000,54475,15000,15000,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
621,Bajaj Discover 125,Bajaj Discover 125,Individual,1st owner,50000,50267,50000,50000,0,,,Bajaj Discover 125,Bajaj Discover 125,,,
622,Suzuki Gixxer [2014-2018],Suzuki Gixxer [2014-2018],Individual,1st owner,6000,60122,69000,69000,0,,,Suzuki Gixxer [2014-2018],Suzuki Gixxer [2014-2018],,,
623,TVS Wego,TVS Wego,Individual,1st owner,20000,82813,15000,15000,0,,,TVS Wego,TVS Wego,,,
624,Bajaj Discover 150,Bajaj Discover 150,Individual,1st owner,65000,54760,25000,25000,0,,,Bajaj Discover 150,Bajaj Discover 150,,,
625,Suzuki Access 125 [2007-2016],Suzuki Access 125 [2007-2016],Individual,1st owner,25000,54299,30000,30000,0,,,Suzuki Access 125 [2007-2016],Suzuki Access 125 [2007-2016],,,
626,Hero Karizma 2014,Hero Karizma 2014,Individual,1st owner,23000,58314,45000,45000,0,,,Hero Karizma 2014,Hero Karizma 2014,,,
627,Hero CD Deluxe,Hero CD Deluxe,Individual,1st owner,5555,86744,35000,35000,0,,,Hero CD Deluxe,Hero CD Deluxe,,,
628,Yamaha Fazer 25,Yamaha Fazer 25,Individual,1st owner,38000,,120000,120000,0,,,Yamaha Fazer 25,Yamaha Fazer 25,,,
629,Hero Splendor Plus,Hero Splendor Plus,Individual,1st owner,6000,142680,25000,25000,0,,,Hero Splendor Plus,Hero Splendor Plus,,,
630,Yamaha YZF R15 [2011-2018],Yamaha YZF R15 [2011-2018],Individual,1st owner,45000,,80000,80000,0,,,Yamaha YZF R15 [2011-2018],Yamaha YZF R15 [2011-2018],,,
631,Hero Honda Splendor Plus,Hero Honda Splendor Plus,Individual,1st owner,27000,118997,10000,10000,0,,,Hero Honda Splendor Plus,Hero Honda Splendor Plus,,,
632,TVS Apache RTR 160,TVS Apache RTR 160,Individual,1st owner,98000,,70000,70000,0,,,TVS Apache RTR 160,TVS Apache RTR 160,,,
633,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,16000,,35000,35000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
634,Hero Glamour 125,Hero Glamour 125,Individual,1st owner,50000,,40000,40000,0,,,Hero Glamour 125,Hero Glamour 125,,,
635,Hero Honda Passion Plus,Hero Honda Passion Plus,Individual,1st owner,71250,61600,20000,20000,0,,,Hero Honda Passion Plus,Hero Honda Passion Plus,,,
636,Honda CB Twister,Honda CB Twister,Individual,1st owner,28000,,30000,30000,0,,,Honda CB Twister,Honda CB Twister,,,
637,Bajaj CT 100,Bajaj CT 100,Individual,1st owner,50000,57241,8000,8000,0,,,Bajaj CT 100,Bajaj CT 100,,,
638,Bajaj Pulsar 220 DTS-i,Bajaj Pulsar 220 DTS-i,Individual,2nd owner,82000,,65000,65000,0,,,Bajaj Pulsar 220 DTS-i,Bajaj Pulsar 220 DTS-i,,,
639,Hero Honda Super Splendor [2005],Hero Honda Super Splendor [2005],Individual,1st owner,6409,,20000,20000,0,,,Hero Honda Super Splendor [2005],Hero Honda Super Splendor [2005],,,
640,Honda CB Trigger,Honda CB Trigger,Individual,1st owner,54000,,45000,45000,0,,,Honda CB Trigger,Honda CB Trigger,,,
641,Hero Hunk,Hero Hunk,Individual,1st owner,20000,76572,35000,35000,0,,,Hero Hunk,Hero Hunk,,,
642,Bajaj Discover 150,Bajaj Discover 150,Individual,1st owner,50000,78513,25000,25000,0,,,Bajaj Discover 150,Bajaj Discover 150,,,
643,TVS Apache RTR 160,TVS Apache RTR 160,Individual,1st owner,52000,54299,15000,15000,0,,,TVS Apache RTR 160,TVS Apache RTR 160,,,
644,Hero Xtreme Sports,Hero Xtreme Sports,Individual,4th owner,880000,,65000,65000,0,,,Hero Xtreme Sports,Hero Xtreme Sports,,,
645,Bajaj Avenger [2015],Bajaj Avenger [2015],Individual,1st owner,23000,78350,45000,45000,0,,,Bajaj Avenger [2015],Bajaj Avenger [2015],,,
646,Honda Activa 125,Honda Activa 125,Individual,1st owner,35000,75502,45000,45000,0,,,Honda Activa 125,Honda Activa 125,,,
647,Bajaj Pulsar 220F,Bajaj Pulsar 220F,Individual,1st owner,49000,,50000,50000,0,,,Bajaj Pulsar 220F,Bajaj Pulsar 220F,,,
648,Bajaj Pulsar NS200,Bajaj Pulsar NS200,Individual,2nd owner,55000,,85000,85000,0,,,Bajaj Pulsar NS200,Bajaj Pulsar NS200,,,
649,Hero Honda Splendor,Hero Honda Splendor,Individual,2nd owner,15100,,25000,25000,0,,,Hero Honda Splendor,Hero Honda Splendor,,,
650,Honda CB Unicorn 150,Honda CB Unicorn 150,Individual,1st owner,38000,,60000,60000,0,,,Honda CB Unicorn 150,Honda CB Unicorn 150,,,
651,Suzuki Gixxer SF Fi,Suzuki Gixxer SF Fi,Individual,1st owner,12652,74295,100000,100000,0,,,Suzuki Gixxer SF Fi,Suzuki Gixxer SF Fi,,,
652,KTM RC 200,KTM RC 200,Individual,1st owner,7000,103170,180000,180000,0,,,KTM RC 200,KTM RC 200,,,
653,Bajaj Discover 100,Bajaj Discover 100,Individual,2nd owner,13800,,25000,25000,0,,,Bajaj Discover 100,Bajaj Discover 100,,,
654,TVS Wego,TVS Wego,Individual,2nd owner,28000,42859,15000,15000,0,,,TVS Wego,TVS Wego,,,
655,Honda CB Hornet 160R,Honda CB Hornet 160R,Individual,2nd owner,20000,54760,60000,60000,0,,,Honda CB Hornet 160R,Honda CB Hornet 160R,,,
656,Yamaha YZF R15 S,Yamaha YZF R15 S,Individual,2nd owner,16008,92210,75000,75000,0,,,Yamaha YZF R15 S,Yamaha YZF R15 S,,,
657,Hero CBZ,Hero CBZ,Individual,1st owner,36000,117926,35000,35000,0,,,Hero CBZ,Hero CBZ,,,
658,TVS Scooty Zest 110,TVS Scooty Zest 110,Individual,1st owner,36000,,55000,55000,0,,,TVS Scooty Zest 110,TVS Scooty Zest 110,,,
659,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,Individual,1st owner,380,53751,85000,85000,0,,,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,,,
660,Hero Honda Glamour,Hero Honda Glamour,Individual,1st owner,50000,87042,35000,35000,0,,,Hero Honda Glamour,Hero Honda Glamour,,,
661,Hero Honda CBZ extreme,Hero Honda CBZ extreme,Individual,1st owner,30000,,35000,35000,0,,,Hero Honda CBZ extreme,Hero Honda CBZ extreme,,,
662,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,Individual,1st owner,35000,,60000,60000,0,,,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,,,
663,Suzuki Access 125,Suzuki Access 125,Individual,1st owner,14500,84042,40000,40000,0,,,Suzuki Access 125,Suzuki Access 125,,,
664,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,15000,,30000,30000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
665,Bajaj Pulsar NS160,Bajaj Pulsar NS160,Individual,1st owner,54000,,80000,80000,0,,,Bajaj Pulsar NS160,Bajaj Pulsar NS160,,,
666,Hero Splendor PRO,Hero Splendor PRO,Individual,1st owner,11000,,24000,24000,0,,,Hero Splendor PRO,Hero Splendor PRO,,,
667,Honda Shine,Honda Shine,Individual,1st owner,43000,51994,18000,18000,0,,,Honda Shine,Honda Shine,,,
668,Hero Passion Pro 110,Hero Passion Pro 110,Individual,1st owner,15000,,20000,20000,0,,,Hero Passion Pro 110,Hero Passion Pro 110,,,
669,Yamaha FZ16,Yamaha FZ16,Individual,3rd owner,40000,,40000,40000,0,,,Yamaha FZ16,Yamaha FZ16,,,
670,Suzuki Access 125,Suzuki Access 125,Individual,1st owner,93000,78712,20000,20000,0,,,Suzuki Access 125,Suzuki Access 125,,,
671,TVS Jupiter,TVS Jupiter,Individual,1st owner,24000,,70000,70000,0,,,TVS Jupiter,TVS Jupiter,,,
672,Hero Passion Pro 110,Hero Passion Pro 110,Individual,1st owner,14000,,50000,50000,0,,,Hero Passion Pro 110,Hero Passion Pro 110,,,
673,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,Individual,1st owner,29442,,75000,75000,0,,,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,,,
674,Honda Livo,Honda Livo,Individual,1st owner,20000,84042,25000,25000,0,,,Honda Livo,Honda Livo,,,
675,Honda CB Hornet 160R,Honda CB Hornet 160R,Individual,1st owner,30000,,70000,70000,0,,,Honda CB Hornet 160R,Honda CB Hornet 160R,,,
676,Honda Activa 125 [2016-2017],Honda Activa 125 [2016-2017],Individual,1st owner,38000,87543,55000,55000,0,,,Honda Activa 125 [2016-2017],Honda Activa 125 [2016-2017],,,
677,Honda Activa 5G,Honda Activa 5G,Individual,1st owner,18000,61545,51000,51000,0,,,Honda Activa 5G,Honda Activa 5G,,,
678,Yamaha Saluto,Yamaha Saluto,Individual,1st owner,14000,59422,74000,74000,0,,,Yamaha Saluto,Yamaha Saluto,,,
679,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,Individual,1st owner,13000,59844,65000,65000,0,,,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,,,
680,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],Individual,1st owner,42000,84042,60000,60000,0,,,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],,,
681,Bajaj Pulsar 220F,Bajaj Pulsar 220F,Individual,2nd owner,27000,80435,110000,110000,0,,,Bajaj Pulsar 220F,Bajaj Pulsar 220F,,,
682,Yamaha YZF R15 [2011-2018],Yamaha YZF R15 [2011-2018],Individual,1st owner,4000,,50000,50000,0,,,Yamaha YZF R15 [2011-2018],Yamaha YZF R15 [2011-2018],,,
683,TVS Apache RTR 160 4V,TVS Apache RTR 160 4V,Individual,1st owner,1200,118997,85009,85009,0,,,TVS Apache RTR 160 4V,TVS Apache RTR 160 4V,,,
684,Hero Passion Pro 110,Hero Passion Pro 110,Individual,1st owner,7500,,60000,60000,0,,,Hero Passion Pro 110,Hero Passion Pro 110,,,
685,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,15000,,25000,25000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
686,TVS Apache RTR 160 4V,TVS Apache RTR 160 4V,Individual,2nd owner,70000,,75000,75000,0,,,TVS Apache RTR 160 4V,TVS Apache RTR 160 4V,,,
687,Honda CB Unicorn 150,Honda CB Unicorn 150,Individual,1st owner,12657,,30000,30000,0,,,Honda CB Unicorn 150,Honda CB Unicorn 150,,,
688,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,1st owner,69000,74295,16600,16600,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
689,Honda Activa 3G,Honda Activa 3G,Individual,1st owner,100000,50267,30000,30000,0,,,Honda Activa 3G,Honda Activa 3G,,,
690,Honda Shine,Honda Shine,Individual,1st owner,18000,54605,20000,20000,0,,,Honda Shine,Honda Shine,,,
691,Honda Activa 5G,Honda Activa 5G,Individual,1st owner,80000,,62000,62000,0,,,Honda Activa 5G,Honda Activa 5G,,,
692,Bajaj Avenger Street 220,Bajaj Avenger Street 220,Individual,1st owner,11200,59422,60000,60000,0,,,Bajaj Avenger Street 220,Bajaj Avenger Street 220,,,
693,Hero Xtreme [2013-2014],Hero Xtreme [2013-2014],Individual,1st owner,17000,95955,45000,45000,0,,,Hero Xtreme [2013-2014],Hero Xtreme [2013-2014],,,
694,Yamaha FZ S [2012-2016],Yamaha FZ S [2012-2016],Individual,1st owner,56420,72492,40000,40000,0,,,Yamaha FZ S [2012-2016],Yamaha FZ S [2012-2016],,,
695,Suzuki Intruder 150,Suzuki Intruder 150,Individual,1st owner,82000,79432,75000,75000,0,,,Suzuki Intruder 150,Suzuki Intruder 150,,,
696,Yamaha Fazer [2009-2016],Yamaha Fazer [2009-2016],Individual,1st owner,10000,,50000,50000,0,,,Yamaha Fazer [2009-2016],Yamaha Fazer [2009-2016],,,
697,Bajaj Pulsar RS 200,Bajaj Pulsar RS 200,Individual,1st owner,100000,84751,105000,105000,0,,,Bajaj Pulsar RS 200,Bajaj Pulsar RS 200,,,
698,Bajaj Discover 135,Bajaj Discover 135,Individual,1st owner,18345,,30000,30000,0,,,Bajaj Discover 135,Bajaj Discover 135,,,
